Datetime,Username,Tweet
2017-08-03 13:27:09+00:00,bettycjung,Someone has emptied the ransom accounts from the #WannaCryattack https://t.co/gI7mjKqa7v via @CNNMoney
2017-07-17 15:00:52+00:00,codigoverde,4 ways to avoid the next #Petya or #WannacryAttack https://t.co/O3l0cWihMI https://t.co/zgVeNT2b4T
2017-07-17 13:00:59+00:00,codigoverde,4 ways to avoid the next #Petya or #WannacryAttack https://t.co/O3l0cWihMI https://t.co/TAnaIRpg4D
2017-06-27 23:07:46+00:00,wannacryptRSS,RT DGregScott: Check out my WCCO radio inverview about #WannaCry and #ransomware. https://t.co/BMGyVCjSgm  #wannacryattack #wannacrypt #ran…
2017-06-27 15:41:03+00:00,juanjoserivasr,#WannaCry #wannacryattack #virus #security #hack #ramsomware https://t.co/K1pnZNCRMs
2017-06-23 17:08:55+00:00,wannacryptRSS,"RT Mr_JBurkett: https://t.co/vwAooY4XfE
#malware #wannacrypt #wannacryattack #WannaCry #Australia #traffic #Cameras #cybersecurity #infosec"
2017-06-23 16:45:18+00:00,MeriTalk,.@HHSGov evaluates #cybersecurity post-#WannaCry. More on @MeriTalk: https://t.co/HlrkcjdUEt #wannacryattack #Ransomware #RansomwareAttack https://t.co/OLGvi3fYIj
2017-06-23 13:52:54+00:00,Mr_JBurkett,"https://t.co/vkukEYAYNc
#malware #wannacrypt #wannacryattack #WannaCry #Australia #traffic #Cameras #cybersecurity #infosec"
2017-06-23 05:08:03+00:00,wannacryptRSS,RT humayun_owais: #WannaCry #Ransomeware #WannaCryAttack #WannaCrypt https://t.co/eSdPTY1Mm8
2017-06-23 01:07:17+00:00,wannacryptRSS,RT humayun_owais: #WannaCry #Ransomeware #WannaCryAttack #WannaCrypt https://t.co/dMj3GHVglL
2017-06-20 16:45:22+00:00,MeriTalk,.@HHSGov evaluates #cybersecurity post-#WannaCry. More on @MeriTalk: https://t.co/HlrkcjdUEt #wannacryattack #Ransomware #RansomwareAttack https://t.co/vW8kyyyRhK
2017-06-18 03:44:46+00:00,spsinghbjp,"Retweeted UP POLICE (@Uppolice):

Advisory- #WannaCryAttack #RansomwareAttack                          Please... https://t.co/R6By8ocJep"
2017-06-16 18:45:34+00:00,netsecu,SCMAGAZINE: Breaking the mould: Why North Korea is unlikely to be behind the WannaCryattack  #cybersecurity https://t.co/9utTowXtzj https://t.co/Ljti87vr7N
2017-06-16 10:52:04+00:00,znetlive,"Disasters don't come with warning signs! Escaped unaffected from #wannacryattack? Be safe- https://t.co/9J3J5Rbvhg
#backup #cyberattacks #dx https://t.co/JbsKigKGYh"
